iter	Passed	Remaining
0	0	42
1	0	38
2	1	37
3	1	32
4	1	32
5	1	31
6	2	30
7	2	29
8	2	28
9	3	27
10	3	27
11	3	27
12	4	27
13	4	27
14	4	26
15	5	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	8	22
26	8	22
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	21
33	10	20
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	14
58	19	13
59	20	13
60	20	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	24	10
69	24	10
70	25	10
71	25	10
72	25	9
73	26	9
74	26	8
75	27	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	30	5
84	30	5
85	31	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	3
92	35	2
93	35	2
94	36	1
95	36	1
96	36	1
97	37	0
98	37	0
99	37	0
